istaigos_kodas;gydytojo_ID;laisvos_registracijos_data;iraso_sukurimo_data
124246043;36513;2025-04-11 10:00;2025-04-24 22:32
124246043;36513;2025-04-11 11:10;2025-04-24 22:32
124246043;36513;2025-04-11 11:20;2025-04-24 22:32
124246043;36513;2025-04-11 11:30;2025-04-24 22:32
124246043;36513;2025-04-11 11:40;2025-04-24 22:32
124246043;36513;2025-04-11 11:50;2025-04-24 22:32
124246043;36513;2025-04-14 08:30;2025-04-24 22:32
124246043;36513;2025-04-14 15:00;2025-04-24 22:32
124246043;36513;2025-04-14 15:10;2025-04-24 22:32
124246043;36513;2025-04-14 15:20;2025-04-24 22:32
124246043;36513;2025-04-14 15:30;2025-04-24 22:32
124246043;36513;2025-04-15 10:40;2025-04-24 22:32
124246043;36513;2025-04-15 10:50;2025-04-24 22:32
124246043;36513;2025-04-15 11:10;2025-04-24 22:32
124246043;36513;2025-04-15 11:20;2025-04-24 22:32
124246043;36513;2025-04-15 11:40;2025-04-24 22:32
124246043;36513;2025-04-15 13:30;2025-04-24 22:32
124246043;36513;2025-04-15 16:30;2025-04-24 22:32
124246043;36513;2025-04-16 14:10;2025-04-24 22:32
124246043;36513;2025-04-16 14:50;2025-04-24 22:32
124246043;36513;2025-04-16 15:00;2025-04-24 22:32
124246043;36513;2025-04-16 15:10;2025-04-24 22:32
124246043;36513;2025-04-16 15:20;2025-04-24 22:32
124246043;36513;2025-04-16 15:30;2025-04-24 22:32
124246043;36513;2025-04-16 15:40;2025-04-24 22:32
124246043;36513;2025-04-17 11:10;2025-04-24 22:32
124246043;36513;2025-04-17 11:20;2025-04-24 22:32
124246043;36513;2025-04-17 11:30;2025-04-24 22:32
124246043;36513;2025-04-17 11:50;2025-04-24 22:32
124246043;36513;2025-04-17 16:00;2025-04-24 22:32
124246043;36513;2025-04-18 12:15;2025-04-24 22:32
124246043;36513;2025-04-18 14:30;2025-04-24 22:32
124246043;36513;2025-04-18 14:40;2025-04-24 22:32
124246043;36513;2025-04-18 14:50;2025-04-24 22:32
124246043;36513;2025-04-18 15:00;2025-04-24 22:32
124246043;36513;2025-04-18 15:10;2025-04-24 22:32
124246043;36513;2025-04-18 15:20;2025-04-24 22:32
124246043;36513;2025-04-18 15:30;2025-04-24 22:32
124246043;36513;2025-04-18 15:40;2025-04-24 22:32
124246043;36513;2025-04-18 15:50;2025-04-24 22:32
124246043;36513;2025-05-05 10:10;2025-04-24 22:32
124246043;36513;2025-05-05 10:20;2025-04-24 22:32
124246043;36513;2025-05-05 10:40;2025-04-24 22:32
124246043;36513;2025-05-05 10:50;2025-04-24 22:32
124246043;36513;2025-05-05 11:00;2025-04-24 22:32
124246043;36513;2025-05-05 11:10;2025-04-24 22:32
124246043;36513;2025-05-05 11:20;2025-04-24 22:32
124246043;36513;2025-05-05 11:30;2025-04-24 22:32
124246043;36513;2025-05-05 11:40;2025-04-24 22:32
124246043;36513;2025-05-05 11:50;2025-04-24 22:32
124246043;36513;2025-05-05 12:15;2025-04-24 22:32
124246043;36513;2025-05-05 13:00;2025-04-24 22:32
124246043;36513;2025-05-05 13:45;2025-04-24 22:32
124246043;36513;2025-05-05 14:15;2025-04-24 22:32
124246043;36513;2025-05-05 16:00;2025-04-24 22:32
124246043;36513;2025-05-05 17:00;2025-04-24 22:32
124246043;36513;2025-05-06 08:30;2025-04-24 22:32
124246043;36513;2025-05-06 09:15;2025-04-24 22:32
124246043;36513;2025-05-06 10:15;2025-04-24 22:32
124246043;36513;2025-05-06 11:00;2025-04-24 22:32
124246043;36513;2025-05-06 12:15;2025-04-24 22:32
124246043;36513;2025-05-06 13:00;2025-04-24 22:32
124246043;36513;2025-05-06 14:20;2025-04-24 22:32
124246043;36513;2025-05-06 14:30;2025-04-24 22:32
124246043;36513;2025-05-06 14:40;2025-04-24 22:32
124246043;36513;2025-05-06 14:50;2025-04-24 22:32
124246043;36513;2025-05-06 15:00;2025-04-24 22:32
124246043;36513;2025-05-06 15:10;2025-04-24 22:32
124246043;36513;2025-05-06 15:20;2025-04-24 22:32
124246043;36513;2025-05-06 15:30;2025-04-24 22:32
124246043;36513;2025-05-06 15:40;2025-04-24 22:32
124246043;36513;2025-05-06 15:50;2025-04-24 22:32
124246043;36513;2025-05-07 10:00;2025-04-24 22:32
124246043;36513;2025-05-07 10:10;2025-04-24 22:32
124246043;36513;2025-05-07 10:20;2025-04-24 22:32
124246043;36513;2025-05-07 10:30;2025-04-24 22:32
124246043;36513;2025-05-07 10:40;2025-04-24 22:32
124246043;36513;2025-05-07 10:50;2025-04-24 22:32
124246043;36513;2025-05-07 11:00;2025-04-24 22:32
124246043;36513;2025-05-07 11:10;2025-04-24 22:32
124246043;36513;2025-05-07 11:20;2025-04-24 22:32
124246043;36513;2025-05-07 11:30;2025-04-24 22:32
124246043;36513;2025-05-07 11:40;2025-04-24 22:32
